1.2474,0.0310876,0.25
1.47943,0.122417,0.5
1.68164,0.268311,0.75
1.84147,0.459698,1
1.94898,0.684678,1.25
1.99749,0.929263,1.5
1.98399,1.17825,1.75
1.9093,1.41615,2
1.77807,1.62817,2.25
1.59847,1.80114,2.5
1.38166,1.9243,2.75
1.14112,1.98999,3
0.891805,1.99413,3.25
0.649217,1.93646,3.5
0.428439,1.82056,3.75
0.243198,1.65364,4
0.105011,1.44609,4.25
0.0224699,1.2108,4.5
0.000707211,0.962398,4.75
0.0410757,0.716338,5
0.141066,0.487915,5.25
0.29446,0.29133,5.5
0.491721,0.138808,5.75
0.720585,0.0398297,6
0.966821,0.000550582,6.25
